Service Area	Service	Service Description
Networking	Azure Route Server	Enable network appliances to exchange routes dynamically with virtual networks in Azure
Networking	Azure Network Function Manager	Extend Azure management for deploying 5G and SD-WAN network functions on edge devices
Networking	Azure Virtual Network Manager PREVIEW	Centrally manage virtual networks in Azure from a single pane of glass
Networking	Azure Private 5G Core PREVIEW	Rapidly deploy and manage private 5G networks at the enterprise edge
Security	App Configuration	"Fast, scalable parameter storage for app configuration"
Security	Application Gateway	"Build secure, scalable, highly available web front ends in Azure"
Security	Azure Active Directory (Azure AD)	Synchronize on-premises directories and enable single sign-on
Security	Azure Active Directory Domain Services	Manage your domain controllers in the cloud
Security	Microsoft Defender for Cloud	Protect your multi-cloud and hybrid environments
Security	Azure DDoS Protection	Protect your applications from Distributed Denial of Service (DDoS) attacks
Security	Azure Dedicated HSM	Manage hardware security modules that you use in the cloud
Security	Azure Front Door	"Fast, reliable, and more secure cloud content delivery service with intelligent threat protection"
Security	Azure Information Protection	"Better protect your sensitive information—anytime, anywhere"
Security	Microsoft Sentinel	Cloud-native SIEM and intelligent security analytics
Security	Key Vault	Safeguard and maintain control of keys and other secrets
Security	Microsoft Defender for Cloud	Extend threat protection to any infrastructure
Security	VPN Gateway	"Establish secure, cross-premises connectivity"
Security	Web Application Firewall	A cloud-native web application firewall (WAF) service that provides powerful protection for web apps
Security	Microsoft Defender for IoT	"Continuous asset discovery, vulnerability management, and threat detection for your Internet of Things (IoT) and operational technology (OT) devices"
Security	Microsoft Azure Attestation	A unified solution for remotely verifying the trustworthiness of a platform and integrity of the binaries running inside it
Security	Azure confidential ledger PREVIEW	"Tamperproof, unstructured data store hosted in trusted execution environments (TEEs) and backed by cryptographically verifiable evidence"
Storage	Archive Storage	Industry leading price point for storing rarely accessed data
Storage	Avere vFXT for Azure	"Run high-performance, file-based workloads in the cloud"
Storage	Azure Backup	Simplify data protection with built-in backup management at scale
Storage	Azure Data Lake Storage	"Scalable, secure data lake for high-performance analytics"
Storage	Azure Data Lake Storage Gen1	Hyperscale repository for big data analytics workloads
Storage	Azure Data Share	A simple and safe service for sharing big data with external organizations
Storage	Azure Files	"Simple, secure and serverless enterprise-grade cloud file shares"
Storage	Azure FXT Edge Filer	Hybrid storage optimization solution for HPC environments
Storage	Azure HPC Cache	File caching for high-performance computing (HPC)
Storage	Azure NetApp Files	"Enterprise-grade Azure file shares, powered by NetApp"
Storage	Azure Blob Storage	Massively scalable and secure object storage
Storage	Data Box	Appliances and solutions for data transfer to Azure and edge compute
Storage	Azure Disk Storage	"High-performance, highly durable block storage"
Storage	Queue Storage	Effectively scale apps according to traffic
Storage	Storage Accounts	"Durable, highly available, and massively scalable cloud storage"
Storage	Storage Explorer	View and interact with Azure Storage resources
Storage	StorSimple	Lower costs with an enterprise hybrid cloud storage solution
Storage	Azure confidential ledger PREVIEW	"Tamperproof, unstructured data store hosted in trusted execution environments (TEEs) and backed by cryptographically verifiable evidence"
Virtual desktop infrastructure	Azure Virtual Desktop	"Enable a secure, remote desktop experience from anywhere"
Virtual desktop infrastructure	VMware Horizon Cloud on Microsoft Azure	Provision Windows desktops and apps with VMware and Azure Virtual Desktop
Virtual desktop infrastructure	Citrix Virtual Apps and Desktops for Azure	Provision Windows desktops and apps on Azure with Citrix and Azure Virtual Desktop
Web	API Management	"Publish APIs to developers, partners, and employees securely and at scale"
Web	App Configuration	"Fast, scalable parameter storage for app configuration"
Web	App Service	Quickly create powerful cloud apps for web and mobile
Web	Azure Cognitive Search	Enterprise scale search for app development
Web	Azure Maps	"Create location-aware web and mobile applications using simple and secure geospatial services, APIs, and SDKs in Azure"
Web	Azure SignalR Service	Add real-time web functionalities easily
Web	Azure Spring Cloud	Build and deploy Spring Boot apps with a fully managed service from Microsoft and VMware
Web	Content Delivery Network	"Fast, reliable content delivery network with global reach"
Web	Notification Hubs	Send push notifications to any platform from any back end
Web	Static Web Apps	Streamlined full-stack development from source code to global high availability
Web	Azure Communication Services	Build rich communication experiences with the same secure platform used by Microsoft Teams
Web	Azure Web PubSub	Easily build real-time messaging web applications using WebSockets and the publish-subscribe pattern
Web	Azure Fluid Relay PREVIEW	Easily add real-time collaborative experiences to your apps with Fluid Framework
Web	Web App for Containers	Run containerized web apps on Windows and Linux
